temperature,humidity,wind_speed,vegetation,recent_fires,fire_detected
-18.0,52,13,0.487,2,0
-16.8,53,20,0.613,1,0
-16.0,53,26,0.552,2,0
-15.4,53,24,0.728,0,0
-15.1,52,24,0.629,1,0
-16.2,55,15,0.381,1,0
-16.3,57,17,0.335,1,0
-16.3,58,20,0.621,2,0
-16.7,61,17,0.313,0,0
-16.9,63,15,0.593,2,0
-16.9,66,17,0.77,1,0
-16.9,68,15,0.588,1,0
-17.1,66,15,0.494,1,0
-17.8,65,6,0.622,1,0
-18.5,68,6,0.529,2,0
-19.2,67,6,0.573,0,0
-18.7,66,0,0.771,0,0
-19.1,69,0,0.493,1,0
-18.7,68,0,0.781,0,0
-17.9,73,4,0.753,1,0
-17.9,67,9,0.398,1,0
-14.4,59,22,0.335,0,0
-13.6,65,19,0.35,1,0
-12.7,66,20,0.309,0,0
-10.7,60,19,0.347,1,0
-10.1,61,13,0.642,0,0
-9.0,68,13,0.336,1,0
-8.0,63,17,0.459,0,0
-7.1,57,9,0.722,1,0
-7.6,56,4,0.312,1,0
-12.5,66,15,0.707,1,0
-14.8,70,15,0.441,0,0
-14.0,70,13,0.359,2,0
-12.9,71,11,0.648,1,0
-12.2,70,9,0.614,1,0
-11.5,71,7,0.739,0,0
-10.8,71,9,0.668,1,0
-10.4,71,9,0.702,1,0
-9.7,73,9,0.441,1,0
-9.2,73,6,0.389,1,0
-9.0,78,6,0.675,2,0
-8.3,85,6,0.703,2,0
-7.7,84,6,0.795,1,0
-7.5,85,9,0.506,1,0
-7.4,84,9,0.486,1,0
-7.0,82,15,0.688,2,0
-6.5,82,15,0.47,2,0
-6.1,83,15,0.765,0,0
-5.3,82,19,0.729,0,0
-5.1,82,22,0.514,1,0
-4.3,85,22,0.675,1,0
-3.7,84,24,0.677,2,0
-3.5,83,28,0.352,1,0
-3.6,84,22,0.751,1,0
-3.5,84,22,0.553,2,0
-3.3,84,24,0.713,2,0
-3.6,85,24,0.46,2,0
-2.9,86,26,0.748,2,0
-1.6,89,17,0.495,0,0
-0.6,90,7,0.305,2,0
2.1,90,11,0.753,2,0
3.7,66,83,0.346,1,0
0.5,72,70,0.46,1,0
-3.5,70,57,0.775,1,0
-6.1,69,48,0.775,0,0
-7.7,69,46,0.587,2,0
-8.5,65,39,0.616,2,0
-9.8,64,39,0.524,0,0
-10.9,63,35,0.447,2,0
-11.2,61,43,0.464,1,0
-11.2,61,35,0.636,0,0
-11.1,58,39,0.676,2,0
-11.0,57,37,0.696,0,0
-10.6,55,32,0.695,0,0
-10.3,55,28,0.346,2,0
-10.4,54,30,0.547,1,0
-10.6,53,26,0.329,2,0
-11.3,54,26,0.575,2,0
-12.0,60,22,0.521,1,0
-12.7,61,22,0.744,2,0
-13.4,62,17,0.475,2,0
-13.7,63,17,0.359,2,0
-14.2,62,13,0.371,0,0
-14.9,66,6,0.681,0,0
-16.6,69,7,0.609,0,0
-15.2,76,4,0.351,2,0
-14.3,77,6,0.342,1,0
-18.0,73,6,0.65,0,0
-15.4,78,7,0.336,1,0
-16.6,76,6,0.711,2,0
-15.3,69,6,0.653,0,0
-14.6,68,6,0.341,2,0
-13.7,68,19,0.342,1,0
-12.7,69,17,0.793,0,0
-11.7,64,20,0.487,0,0
-11.0,62,26,0.485,0,0
-8.8,59,15,0.706,0,0
-7.3,55,20,0.774,1,0
-7.0,53,20,0.793,0,0
-6.7,52,26,0.677,2,0
-6.7,52,24,0.488,0,0
-6.9,54,17,0.342,1,0
-5.0,54,19,0.689,0,0
-3.6,49,30,0.579,1,0
-3.7,53,30,0.512,1,0
-5.0,77,24,0.753,2,0
-4.2,68,32,0.356,0,0
-4.1,69,26,0.546,0,0
-4.1,71,26,0.306,0,0
-4.1,73,20,0.534,2,0
-3.9,73,22,0.328,2,0
-4.8,67,19,0.359,1,0
-6.0,72,19,0.359,1,0
-6.3,63,33,0.625,1,0
-7.6,59,28,0.673,2,0
-8.6,57,28,0.592,2,0
-10.4,62,33,0.781,2,0
-12.2,61,32,0.487,1,0
-13.7,57,33,0.443,2,0
-14.2,55,32,0.734,1,0
-15.2,56,30,0.412,1,0
-15.8,51,30,0.782,0,0
-15.5,48,30,0.306,0,0
-15.0,47,30,0.785,0,0
-14.8,45,24,0.322,1,0
-15.4,46,17,0.746,0,0
-15.9,48,13,0.564,0,0
-16.3,51,13,0.796,0,0
-16.9,50,9,0.337,2,0
-18.5,54,9,0.577,1,0
-18.1,54,9,0.785,0,0
-17.4,54,6,0.562,2,0
-16.4,53,6,0.615,2,0
-16.1,52,0,0.648,2,0
-15.3,53,0,0.527,0,0
-15.9,60,7,0.614,2,0
-15.3,58,7,0.592,1,0
-14.8,50,11,0.751,2,0
-14.3,52,9,0.323,2,0
-13.9,50,9,0.44,2,0
-14.0,52,9,0.775,2,0
-15.9,65,13,0.745,1,0
-16.3,65,17,0.528,0,0
-15.9,64,19,0.61,1,0
-14.6,62,15,0.439,1,0
-13.4,59,15,0.394,0,0
-12.5,55,13,0.532,2,0
-11.8,56,11,0.477,0,0
-11.6,55,7,0.592,0,0
-12.1,53,11,0.339,1,0
-13.0,55,6,0.787,0,0
-13.4,58,4,0.793,2,0
-18.5,60,4,0.649,1,0
-16.0,66,9,0.568,2,0
-17.6,61,0,0.455,1,0
-17.4,69,0,0.707,2,0
-18.3,70,0,0.642,0,0
-17.5,72,4,0.381,0,0
-18.5,70,0,0.755,0,0
-18.4,67,0,0.711,2,0
-17.2,69,0,0.775,1,0
-19.5,71,6,0.663,1,0
-19.0,71,6,0.607,1,0
-18.6,69,6,0.509,0,0
-18.5,74,4,0.766,2,0
-16.2,78,7,0.733,1,0
-14.5,80,9,0.323,2,0
-13.0,81,6,0.313,1,0
-11.5,73,9,0.488,0,0
-11.2,68,11,0.705,2,0
-9.4,65,9,0.794,1,0
-8.7,63,9,0.375,1,0
-8.0,59,6,0.597,1,0
-9.5,60,19,0.49,1,0
-10.4,63,19,0.785,0,0
-10.4,62,19,0.721,1,0
-12.3,69,15,0.719,1,0
-12.9,70,15,0.534,0,0
-13.2,73,13,0.507,1,0
-13.3,73,9,0.437,2,0
-12.9,71,11,0.328,2,0
-12.9,70,11,0.732,1,0
-13.2,72,13,0.706,0,0
-12.1,73,13,0.8,0,0
-11.2,72,11,0.798,0,0
-9.9,73,11,0.578,1,0
-8.8,73,7,0.684,1,0
-8.1,73,13,0.772,2,0
-7.2,74,11,0.725,0,0
-4.9,72,11,0.424,1,0
-3.6,72,9,0.525,1,0
1.2,72,11,0.365,1,0
2.3,71,6,0.777,0,0
2.5,75,22,0.603,0,0
2.7,76,26,0.414,2,0
2.7,77,30,0.636,0,0
3.1,78,28,0.609,1,0
3.1,78,28,0.479,2,0
3.0,88,19,0.357,0,0
3.2,88,22,0.636,0,0
2.9,89,26,0.56,0,0
3.3,89,24,0.686,0,0
3.6,91,28,0.56,1,0
4.0,90,22,0.726,0,0
3.5,92,17,0.576,1,0
3.1,92,19,0.58,1,0
3.1,93,9,0.738,1,0
5.0,91,19,0.502,2,0
4.2,81,30,0.367,1,0
3.7,76,41,0.314,0,0
3.4,75,28,0.678,2,0
2.9,75,26,0.61,0,0
3.0,71,28,0.652,1,0
2.9,71,30,0.406,0,0
3.0,70,35,0.368,2,0
3.1,70,33,0.307,2,0
3.2,67,30,0.475,0,0
2.8,69,39,0.595,0,0
2.4,71,35,0.496,0,0
1.9,74,26,0.519,2,0
1.7,74,30,0.752,1,0
1.6,73,26,0.474,0,0
1.5,72,22,0.557,1,0
1.5,71,32,0.692,2,0
1.3,72,19,0.498,0,0
1.1,74,20,0.611,0,0
1.1,72,22,0.731,2,0
1.0,72,28,0.775,0,0
0.5,69,28,0.374,1,0
-0.1,68,22,0.763,2,0
-0.4,66,20,0.546,2,0
-0.5,65,24,0.429,0,0
-0.7,67,24,0.53,2,0
-1.7,64,33,0.79,0,0
-2.8,62,35,0.546,0,0
-3.9,63,37,0.464,2,0
-4.7,62,26,0.617,0,0
-5.2,62,28,0.42,1,0
-5.3,62,22,0.338,1,0
-5.3,60,19,0.364,0,0
-5.0,59,20,0.364,1,0
-4.7,58,20,0.376,0,0
-4.5,60,22,0.369,1,0
-4.4,59,22,0.62,2,0
-4.4,59,19,0.391,0,0
-4.8,60,20,0.473,0,0
-5.1,61,11,0.748,0,0
-5.4,62,13,0.537,0,0
-4.9,59,7,0.634,0,0
-5.4,64,7,0.386,0,0
-5.5,64,0,0.396,2,0
-5.4,63,6,0.32,2,0
-5.9,64,6,0.384,1,0
-7.0,67,4,0.439,0,0
-8.2,71,6,0.389,1,0
-8.1,71,0,0.344,1,0
-8.5,67,0,0.36,2,0
-9.0,68,6,0.53,1,0
-11.2,73,6,0.403,2,0
-10.6,74,6,0.482,1,0
-9.2,72,6,0.552,0,0
-7.9,70,11,0.645,1,0
-5.7,59,11,0.32,2,0
-5.0,57,7,0.7,2,0
-4.6,54,11,0.614,2,0
-4.0,54,15,0.341,1,0
-3.4,49,11,0.737,1,0
-3.0,42,13,0.76,2,0
-3.8,52,19,0.331,0,0
-4.3,54,20,0.438,0,0
-4.7,49,24,0.703,1,0
-4.5,49,17,0.674,1,0
-4.6,52,17,0.392,2,0
-5.2,58,20,0.405,1,0
-5.3,68,22,0.485,1,0
-5.8,77,22,0.542,2,0
-5.7,79,28,0.609,2,0
-5.5,81,24,0.484,1,0
-5.5,81,26,0.531,0,0
-5.3,81,28,0.674,1,0
-4.9,81,26,0.318,0,0
-4.0,82,22,0.426,0,0
-2.1,86,19,0.657,0,0
-0.8,86,22,0.748,2,0
0.3,86,20,0.556,2,0
0.7,86,17,0.566,2,0
0.6,88,17,0.354,1,0
0.7,88,20,0.524,2,0
0.7,89,20,0.566,2,0
0.7,88,22,0.421,1,0
0.5,88,20,0.435,1,0
0.3,87,19,0.489,0,0
-0.3,86,19,0.31,1,0
-0.6,88,22,0.461,1,0
-0.3,90,11,0.406,2,0
0.1,88,30,0.464,0,0
-0.7,86,32,0.36,0,0
-1.3,82,19,0.745,1,0
-1.5,81,19,0.597,2,0
-1.6,81,20,0.64,2,0
-1.5,81,19,0.695,2,0
-0.2,82,22,0.549,2,0
0.2,81,24,0.343,1,0
0.4,78,17,0.569,2,0
0.1,77,15,0.593,0,0
0.3,80,19,0.673,0,0
-1.7,76,9,0.516,1,0
-1.2,78,11,0.364,2,0
-2.1,80,7,0.442,2,0
-1.6,81,13,0.482,2,0
-1.1,78,13,0.623,2,0
-0.6,80,6,0.585,1,0
-0.3,80,7,0.478,2,0
0.9,72,4,0.793,1,0
1.2,71,9,0.603,2,0
1.2,70,15,0.419,2,0
1.4,69,22,0.351,0,0
1.2,71,11,0.376,1,0
1.6,69,9,0.423,0,0
2.2,71,19,0.38,1,0
1.7,81,24,0.393,2,0
2.1,76,24,0.443,2,0
2.3,73,37,0.387,1,0
1.2,81,52,0.748,0,0
1.5,62,57,0.34,1,0
0.9,63,52,0.562,1,0
0.3,64,52,0.505,2,0
-0.2,65,43,0.791,0,0
-0.9,63,43,0.356,1,0
-1.5,62,43,0.499,0,0
-2.0,63,44,0.785,0,0
-1.9,62,32,0.733,1,0
-2.2,63,32,0.709,0,0
-2.1,62,32,0.429,2,0
-1.8,61,24,0.385,2,0
-0.8,59,33,0.634,2,0
0.1,56,37,0.765,2,0
0.5,50,33,0.578,0,0
0.4,54,19,0.586,2,0
0.2,56,17,0.44,1,0
0.7,51,20,0.685,2,0
-0.7,56,11,0.394,1,0
-1.1,54,17,0.462,1,0
-1.6,56,17,0.513,2,0
-2.0,58,17,0.554,2,0
-1.7,60,9,0.421,0,0
-2.3,70,15,0.357,1,0
-3.4,73,15,0.605,2,0
-3.7,68,11,0.444,0,0
-4.4,65,15,0.591,2,0
-5.1,68,15,0.377,2,0
-6.1,72,11,0.541,2,0
-7.7,72,11,0.566,1,0
-7.9,63,13,0.326,2,0
-8.9,61,15,0.468,0,0
-9.8,61,15,0.367,2,0
-10.5,59,9,0.332,2,0
-9.5,56,13,0.795,0,0
-8.8,56,17,0.461,0,0
-7.7,57,19,0.705,1,0
-7.0,56,22,0.427,1,0
-7.5,54,22,0.641,1,0
-6.7,52,22,0.68,1,0
-6.9,51,22,0.598,0,0
-7.3,51,17,0.536,2,0
-7.4,51,13,0.506,2,0
-7.4,52,15,0.474,2,0
-8.8,56,7,0.765,1,0
-9.5,59,4,0.715,0,0
-8.4,57,4,0.783,0,0
-7.8,55,4,0.362,0,0
-8.6,66,6,0.665,2,0
-7.0,62,7,0.769,1,0
-7.1,62,6,0.391,0,0
-6.5,59,11,0.333,1,0
-6.8,64,15,0.671,0,0
-7.1,66,17,0.587,1,0
-7.1,67,17,0.721,0,0
-7.0,69,13,0.37,1,0
-9.6,73,17,0.698,0,0
-9.8,72,19,0.401,0,0
-10.1,71,17,0.382,1,0
-9.7,70,19,0.382,1,0
-9.3,67,20,0.707,2,0
-8.6,69,22,0.633,1,0
-8.3,73,20,0.562,0,0
-8.4,75,20,0.479,0,0
-8.2,74,17,0.739,1,0
-8.0,76,20,0.496,2,0
-7.7,77,19,0.708,1,0
-7.8,77,20,0.52,0,0
-7.7,78,19,0.488,0,0
-7.4,77,20,0.531,2,0
-7.1,77,20,0.451,1,0
-7.1,77,19,0.674,0,0
-6.8,79,22,0.551,0,0
-6.7,79,19,0.416,0,0
-6.7,80,15,0.75,1,0
-6.8,82,19,0.492,1,0
-6.5,82,15,0.572,2,0
-5.8,83,17,0.753,0,0
-5.8,81,19,0.612,0,0
-5.4,82,15,0.358,2,0
-5.5,81,13,0.77,0,0
-5.5,79,11,0.614,2,0
-5.7,80,15,0.467,2,0
-5.7,81,13,0.37,0,0
-5.8,82,9,0.697,1,0
-5.5,83,11,0.61,1,0
-5.0,81,11,0.567,1,0
-4.9,83,9,0.747,1,0
-4.9,82,6,0.694,0,0
-4.5,81,0,0.376,2,0
-4.3,81,0,0.456,2,0
-4.0,80,0,0.424,0,0
-3.9,81,6,0.672,1,0
-3.6,81,4,0.317,2,0
-4.3,80,15,0.585,0,0
-5.0,78,15,0.681,0,0
-4.9,78,0,0.738,1,0
-5.0,78,7,0.471,0,0
-5.5,75,9,0.711,2,0
-6.3,77,4,0.355,2,0
-5.6,76,6,0.723,0,0
-5.5,78,4,0.364,2,0
-5.2,72,9,0.499,0,0
-6.0,63,13,0.699,2,0
-6.9,63,22,0.375,1,0
-7.6,64,19,0.415,2,0
-7.7,63,19,0.661,1,0
-8.2,65,17,0.66,1,0
-8.3,62,19,0.621,0,0
-8.1,66,13,0.647,1,0
-7.4,66,9,0.571,2,0
-6.7,66,9,0.426,2,0
-6.7,65,9,0.473,1,0
-6.6,67,11,0.391,0,0
-7.1,68,13,0.754,1,0
-7.7,68,7,0.592,2,0
-7.0,66,6,0.5,2,0
-8.9,73,4,0.531,1,0
-7.2,74,4,0.774,1,0
-8.0,76,7,0.377,1,0
-7.2,74,7,0.593,2,0
-9.7,80,4,0.553,2,0
-11.0,82,0,0.606,2,0
-10.2,82,0,0.309,0,0
-11.6,82,0,0.736,2,0
-12.6,82,7,0.766,2,0
-11.2,85,9,0.583,0,0
-11.8,83,7,0.648,0,0
-11.3,82,9,0.761,0,0
-10.6,80,9,0.654,0,0
-8.8,78,6,0.376,0,0
-6.8,77,7,0.588,0,0
-6.3,75,11,0.603,1,0
-6.2,77,11,0.512,1,0
-4.8,76,6,0.668,1,0
-3.8,76,7,0.767,1,0
-2.9,69,19,0.763,2,0
-3.3,74,13,0.525,0,0
-3.4,76,11,0.357,2,0
-3.7,77,7,0.792,0,0
-3.8,77,9,0.719,0,0
-4.2,77,11,0.362,2,0
-4.7,78,7,0.76,1,0
-5.3,78,0,0.735,2,0
-3.7,80,6,0.559,2,0
-4.5,84,9,0.596,0,0
-4.5,85,11,0.5,0,0
-4.0,77,20,0.327,0,0
-4.9,65,15,0.468,1,0
-7.1,64,13,0.701,2,0
-8.1,66,15,0.302,2,0
-9.4,70,9,0.467,1,0
-11.0,74,7,0.499,2,0
-11.6,72,9,0.569,2,0
-9.6,70,13,0.76,0,0
